group,variable,value
4036,2620,0.0757862826828344
4036,3104,0.094732853353543
4036,4378,0.0568397120121258
4036,2796,0.0
4036,1796,0.0
4036,471,0.0189465706707086
4036,4169,0.1515725653656688
4036,1061,0.0
4036,1844,0.094732853353543
4036,4080,0.0568397120121258
4036,4287,0.0
4036,4570,0.0189465706707086
4036,2257,0.0
4036,4162,0.0
4036,1341,0.0189465706707086
4036,3661,0.0
4036,3016,0.0378931413414172
4036,1634,0.0757862826828344
4036,159,0.0
4036,344,0.0568397120121258
1075,2620,0.0379578667678876
1075,3104,0.0
1075,4378,0.0189789333839438
1075,2796,0.0569368001518314
1075,1796,0.0189789333839438
1075,471,0.0189789333839438
1075,4169,0.0189789333839438
1075,1061,0.0
1075,1844,0.0379578667678876
1075,4080,0.0189789333839438
1075,4287,0.0948946669197191
1075,4570,0.1138736003036629
1075,2257,0.0
1075,4162,0.0
1075,1341,0.0189789333839438
1075,3661,0.0
1075,3016,0.0
1075,1634,0.0759157335357752
1075,159,0.0189789333839438
1075,344,0.1518314670715505
3470,2620,0.0
3470,3104,0.0
3470,4378,0.0380372765310003
3470,2796,0.0760745530620007
3470,1796,0.0
3470,471,0.0190186382655001
3470,4169,0.0190186382655001
3470,1061,0.0
3470,1844,0.0380372765310003
3470,4080,0.0
3470,4287,0.1141118295930011
3470,4570,0.0190186382655001
3470,2257,0.0
3470,4162,0.0
3470,1341,0.0
3470,3661,0.0380372765310003
3470,3016,0.0190186382655001
3470,1634,0.0190186382655001
3470,159,0.0
3470,344,0.0
