info/authors/author/0/_pid,info/authors/author/0/__text,info/authors/author/1/_pid,info/authors/author/1/__text,info/authors/author/2/_pid,info/authors/author/2/__text,info/title,info/venue,info/pages,info/year,info/type,info/access,info/key,info/ee,info/url,url,_score,_id,info/authors/author/3/_pid,info/authors/author/3/__text,info/authors/author/4/_pid,info/authors/author/4/__text,info/authors/author/5/_pid,info/authors/author/5/__text,info/authors/author/6/_pid,info/authors/author/6/__text,info/authors/author/7/_pid,info/authors/author/7/__text,info/authors/author/8/_pid,info/authors/author/8/__text,info/authors/author/9/_pid,info/authors/author/9/__text,info/authors/author/10/_pid,info/authors/author/10/__text,info/authors/author/11/_pid,info/authors/author/11/__text,info/authors/author/12/_pid,info/authors/author/12/__text,info/authors/author/13/_pid,info/authors/author/13/__text,info/authors/author/14/_pid,info/authors/author/14/__text,info/authors/author/15/_pid,info/authors/author/15/__text,info/authors/author/16/_pid,info/authors/author/16/__text,info/authors/author/17/_pid,info/authors/author/17/__text,info/authors/author/18/_pid,info/authors/author/18/__text,info/authors/author/19/_pid,info/authors/author/19/__text
76/1820-39,Xin Liu 0039,86/2159,Yangqiu Song,,,Graph Convolutional Networks with Dual Message Passing for Subgraph Isomorphism Counting and Matching.,AAAI,7594-7602,2022,Conference and Workshop Papers,closed,conf/aaai/LiuS22,https://ojs.aaai.org/index.php/AAAI/article/view/20725,https://dblp.org/rec/conf/aaai/LiuS22,URL#305935,1,305935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/2134,Jie Liu,152/7478,Lingyun Song,18/4703,Li Gao,MMAN: Metapath Based Multi-Level Graph Attention Networks for Heterogeneous Network Embedding (Student Abstract).,AAAI,13005-13006,2022,Conference and Workshop Papers,closed,conf/aaai/LiuSGS22,https://ojs.aaai.org/index.php/AAAI/article/view/21639,https://dblp.org/rec/conf/aaai/LiuSGS22,URL#305936,1,305936,21/6081,Xuequn Shang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264/2652,Anthony Z. Liu,172/9884,Sungryull Sohn,317/4907,Mahdi Qazwini,Learning Parameterized Task Structure for Generalization to Unseen Entities.,AAAI,7534-7541,2022,Conference and Workshop Papers,closed,conf/aaai/LiuSQL22,https://ojs.aaai.org/index.php/AAAI/article/view/20718,https://dblp.org/rec/conf/aaai/LiuSQL22,URL#305937,1,305937,58/2562,Honglak Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165/8466,Boyang Liu,t/PangNingTan,Pang-Ning Tan,73/1353,Jiayu Zhou,Unsupervised Anomaly Detection by Robust Density Estimation.,AAAI,4101-4108,2022,Conference and Workshop Papers,closed,conf/aaai/LiuTZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20328,https://dblp.org/rec/conf/aaai/LiuTZ22,URL#305938,1,305938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74/1932-8,Yue Liu 0008,240/2589,Wenxuan Tu,150/4048,Sihang Zhou,Deep Graph Clustering via Dual Correlation Reduction.,AAAI,7603-7611,2022,Conference and Workshop Papers,closed,conf/aaai/LiuTZLSYZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20726,https://dblp.org/rec/conf/aaai/LiuTZLSYZ22,URL#305939,1,305939,45/6569,Xinwang Liu,309/9042,Linxuan Song,309/8286,Xihong Yang,30/1307,En Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,
227/5361,Suyuan Liu,51/8279,Siwei Wang,78/5323-8,Pei Zhang 0008,Efficient One-Pass Multi-View Subspace Clustering with Consensus Anchors.,AAAI,7576-7584,2022,Conference and Workshop Papers,closed,conf/aaai/LiuW00LZG22,https://ojs.aaai.org/index.php/AAAI/article/view/20723,https://dblp.org/rec/conf/aaai/LiuW00LZG22,URL#305940,1,305940,x/KaiXu4,Kai Xu 0004,45/6569,Xinwang Liu,65/7080,Changwang Zhang,10/2674,Feng Gao,,,,,,,,,,,,,,,,,,,,,,,,,,
09/3214-3,Hao Liu 0003,13/1898,Bin Wang,207/1909,Zhimin Bao,Perceiving Stroke-Semantic Context: Hierarchical Contrastive Learning for Robust Scene Text Recognition.,AAAI,1702-1710,2022,Conference and Workshop Papers,closed,conf/aaai/LiuWBXKJLR22,https://ojs.aaai.org/index.php/AAAI/article/view/20062,https://dblp.org/rec/conf/aaai/LiuWBXKJLR22,URL#305941,1,305941,301/3279,Mobai Xue,156/4848,Sheng Kang,259/2591,Deqiang Jiang,266/5668,Yinsong Liu,07/1796-2,Bo Ren 0002,,,,,,,,,,,,,,,,,,,,,,,,
200/8726,Chih-Ting Liu,12/6741,Chien-Yi Wang,99/4773,Shao-Yi Chien,FedFR: Joint Optimization Federated Framework for Generic and Personalized Face Recognition.,AAAI,1656-1664,2022,Conference and Workshop Papers,closed,conf/aaai/LiuWCL22,https://ojs.aaai.org/index.php/AAAI/article/view/20057,https://dblp.org/rec/conf/aaai/LiuWCL22,URL#305942,1,305942,27/679,Shang-Hong Lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/6480,Jinxin Liu,80/7163,Donglin Wang,251/9538,Qiangxing Tian,Learn Goal-Conditioned Policy with Intrinsic Motivation for Deep Reinforcement Learning.,AAAI,7558-7566,2022,Conference and Workshop Papers,closed,conf/aaai/LiuWTC22,https://ojs.aaai.org/index.php/AAAI/article/view/20721,https://dblp.org/rec/conf/aaai/LiuWTC22,URL#305943,1,305943,80/887-1,Zhengyu Chen 0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182/7579,Ao Liu,73/4036,Lirong Xia,,,The Semi-random Likelihood of Doctrinal Paradoxes.,AAAI,5124-5132,2022,Conference and Workshop Papers,closed,conf/aaai/LiuX22,https://ojs.aaai.org/index.php/AAAI/article/view/20446,https://dblp.org/rec/conf/aaai/LiuX22,URL#305944,1,305944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49/3283,Wei Liu,36/4716,Xiaodong Yue,79/4489-2,Yufei Chen 0002,Trusted Multi-View Deep Learning with Opinion Aggregation.,AAAI,7585-7593,2022,Conference and Workshop Papers,closed,conf/aaai/LiuY0D22,https://ojs.aaai.org/index.php/AAAI/article/view/20724,https://dblp.org/rec/conf/aaai/LiuY0D22,URL#305945,1,305945,70/2550,Thierry Denoeux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283/0383,Biyang Liu,47/8844,Huimin Yu,295/9292,Yangqi Long,Local Similarity Pattern and Cost Self-Reassembling for Deep Stereo Matching Networks.,AAAI,1647-1655,2022,Conference and Workshop Papers,closed,conf/aaai/LiuYL22,https://ojs.aaai.org/index.php/AAAI/article/view/20056,https://dblp.org/rec/conf/aaai/LiuYL22,URL#305946,1,305946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61/2115-16,Lin Liu 0016,142/0092,Shanxin Yuan,l/JianzhuangLiu,Jianzhuang Liu,SiamTrans: Zero-Shot Multi-Frame Image Restoration with Pre-trained Siamese Transformers.,AAAI,1747-1755,2022,Conference and Workshop Papers,closed,conf/aaai/LiuYLGY022,https://ojs.aaai.org/index.php/AAAI/article/view/20067,https://dblp.org/rec/conf/aaai/LiuYLGY022,URL#305947,1,305947,17/1430,Xin Guo,135/5316,Youliang Yan,78/1467-1,Qi Tian 0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138/6898,Jinglin Liu,197/6141,Zhiying Zhu,75/6568-6,Yi Ren 0006,Parallel and High-Fidelity Text-to-Lip Generation.,AAAI,1738-1746,2022,Conference and Workshop Papers,closed,conf/aaai/LiuZ0HHYZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20066,https://dblp.org/rec/conf/aaai/LiuZ0HHYZ22,URL#305948,1,305948,304/1381,Wencan Huang,152/3689,Baoxing Huai,131/4855,Nicholas Jing Yuan,75/7785,Zhou Zhao,,,,,,,,,,,,,,,,,,,,,,,,,,
198/2194,Fangxin Liu,30/5943,Wenbo Zhao,267/2641,Yongbiao Chen,SpikeConverter: An Efficient Conversion Framework Zipping the Gap between Artificial Neural Networks and Spiking Neural Networks.,AAAI,1692-1701,2022,Conference and Workshop Papers,closed,conf/aaai/LiuZCWJ22,https://ojs.aaai.org/index.php/AAAI/article/view/20061,https://dblp.org/rec/conf/aaai/LiuZCWJ22,URL#305949,1,305949,286/8272,Zongwu Wang,45/4954-2,Li Jiang 0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242/8872,Sam Lobel,217/4338,Omer Gottesman,206/6780,Cameron Allen,Optimistic Initialization for Exploration in Continuous Control.,AAAI,7612-7619,2022,Conference and Workshop Papers,closed,conf/aaai/LobelGAB022,https://ojs.aaai.org/index.php/AAAI/article/view/20727,https://dblp.org/rec/conf/aaai/LobelGAB022,URL#305950,1,305950,155/9746,Akhil Bagaria,56/6762,George Konidaris 0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156/9630,Alexander Long,79/3180,Alan Blair,123/6759,Herke van Hoof,Fast and Data Efficient Reinforcement Learning from Pixels via Non-parametric Value Approximation.,AAAI,7620-7627,2022,Conference and Workshop Papers,closed,conf/aaai/LongBH22,https://ojs.aaai.org/index.php/AAAI/article/view/20728,https://dblp.org/rec/conf/aaai/LongBH22,URL#305951,1,305951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/8646,Ting Long,187/0165,Yutong Xie,179/0991,Xianyu Chen,Multi-View Graph Representation for Programming Language Processing: An Investigation into Algorithm Detection.,AAAI,5792-5799,2022,Conference and Workshop Papers,closed,conf/aaai/LongXC0C022,https://ojs.aaai.org/index.php/AAAI/article/view/20522,https://dblp.org/rec/conf/aaai/LongXC0C022,URL#305952,1,305952,28/10261-1,Weinan Zhang 0001,141/1017,Qinxiang Cao,43/5685-1,Yong Yu 0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127/7332,Andrea Loreggia,305/0603,Simone Mosco,305/0612,Alberto Zerbinati,SenTag: A Web-Based Tool for Semantic Annotation of Textual Documents.,AAAI,13191-13193,2022,Conference and Workshop Papers,closed,conf/aaai/LoreggiaMZ22,https://ojs.aaai.org/index.php/AAAI/article/view/21724,https://dblp.org/rec/conf/aaai/LoreggiaMZ22,URL#305953,1,305953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317/1199,Siow Meng Low,73/193,Akshat Kumar,88/3374,Scott Sanner,Sample-Efficient Iterative Lower Bound Optimization of Deep Reactive Policies for Planning in Continuous MDPs.,AAAI,9840-9848,2022,Conference and Workshop Papers,closed,conf/aaai/LowKS22,https://ojs.aaai.org/index.php/AAAI/article/view/21220,https://dblp.org/rec/conf/aaai/LowKS22,URL#305954,1,305954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/8813,Kevin Lu,162/5052,Aditya Grover,a/PieterAbbeel,Pieter Abbeel,Frozen Pretrained Transformers as Universal Computation Engines.,AAAI,7628-7636,2022,Conference and Workshop Papers,closed,conf/aaai/LuGAM22,https://ojs.aaai.org/index.php/AAAI/article/view/20729,https://dblp.org/rec/conf/aaai/LuGAM22,URL#305955,1,305955,21/17,Igor Mordatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
